request_id,arrival_time,prompt_tokens,output_tokens
1,0.0816,57,205
2,0.1073,260,51
3,0.214,724,205
4,0.3922,121,167
5,0.436,62,39
6,0.4558,549,170
7,0.4579,235,199
8,0.5419,590,123
9,0.5618,635,87
10,0.6944,38,210
11,0.8256,746,124
12,0.8588,191,71
13,1.1109,376,42
14,1.1187,131,107
15,1.2692,650,83
16,1.4008,779,133
17,1.4623,976,112
18,1.4689,332,228
19,1.5481,938,236
20,1.584,228,196
21,1.5898,709,74
22,1.7084,113,234
23,1.7296,135,113
24,1.7557,682,229
25,1.792,411,106
26,1.8108,305,195
27,2.0315,695,34
28,2.1067,207,152
29,2.2112,199,134
30,2.2494,979,179
31,2.3426,256,191
32,2.3739,818,214
33,2.3785,873,24
34,2.5093,442,84
35,2.5148,967,161
36,2.6821,354,70
37,2.7673,437,242
38,2.9641,501,52
39,2.9887,284,206
40,3.0546,301,207
41,3.1249,951,165
42,3.1657,256,51
43,3.2227,125,209
44,3.2265,144,55
45,3.3055,843,190
46,3.3494,97,114
47,3.3879,511,151
48,3.411,598,236
49,3.6394,728,200
50,3.6491,938,153
51,3.7603,819,180
52,3.7936,332,127
53,3.8074,35,200
54,3.9743,301,144
55,4.0891,551,249
56,4.0981,672,92
57,4.2455,551,171
58,4.2633,414,211
59,4.2774,1008,215
60,4.4819,972,16
61,4.555,532,20
62,4.5645,403,240
63,4.9022,858,94
64,4.9241,278,240
