policy,request_id,arrival_time,prompt_tokens,output_tokens,start_time,finish_time,wait_time,latency
continuous_batching,1,0.0816,57,205,0.0816,3.03346,0.0,2.95186
continuous_batching,2,0.1073,260,51,0.10794,1.50062,0.00064,1.39332
continuous_batching,3,0.214,724,205,0.21466,3.43606,0.00066,3.22206
continuous_batching,4,0.3922,121,167,0.50426,2.17854,0.11206,1.78634
continuous_batching,5,0.436,62,39,0.55266,1.22222,0.11666,0.78622
continuous_batching,6,0.4558,549,170,0.57746,2.33626,0.12166,1.88046
continuous_batching,7,0.4579,235,199,0.79706,2.71942,0.33916,2.26152
continuous_batching,8,0.5419,590,123,0.89106,1.69638,0.34916,1.15448
continuous_batching,9,0.5618,635,87,1.22222,2.0021,0.66042,1.4403
continuous_batching,10,0.6944,38,210,1.50062,4.16702,0.80622,3.47262
continuous_batching,11,0.8256,746,124,1.69638,4.04654,0.87078,3.22094
continuous_batching,12,0.8588,191,71,2.0021,2.45454,1.1433,1.59574
continuous_batching,13,1.1109,376,42,2.17854,3.57862,1.06764,2.46772
continuous_batching,14,1.1187,131,107,2.33626,4.49454,1.21756,3.37584
continuous_batching,15,1.2692,650,83,2.45454,4.54706,1.18534,3.27786
continuous_batching,16,1.4008,779,133,2.71942,5.00074,1.31862,3.59994
continuous_batching,17,1.4623,976,112,3.03346,4.67914,1.57116,3.21684
continuous_batching,18,1.4689,332,228,3.43606,5.89438,1.96716,4.42548
continuous_batching,19,1.5481,938,236,3.57862,6.49726,2.03052,4.94916
continuous_batching,20,1.584,228,196,4.04654,6.38998,2.46254,4.80598
continuous_batching,21,1.5898,709,74,4.16702,5.16758,2.57722,3.57778
continuous_batching,22,1.7084,113,234,4.49454,6.9855,2.78614,5.2771
continuous_batching,23,1.7296,135,113,4.54706,5.43598,2.81746,3.70638
continuous_batching,24,1.7557,682,229,4.67914,7.9715,2.92344,6.2158
continuous_batching,25,1.792,411,106,5.00074,5.98618,3.20874,4.19418
continuous_batching,26,1.8108,305,195,5.16758,7.37618,3.35678,5.56538
continuous_batching,27,2.0315,695,34,5.43598,5.79694,3.40448,3.76544
continuous_batching,28,2.1067,207,152,5.79694,8.38062,3.69024,6.27392
continuous_batching,29,2.2112,199,134,5.89438,8.17654,3.68318,5.96534
continuous_batching,30,2.2494,979,179,5.98618,8.90774,3.73678,6.65834
continuous_batching,31,2.3426,256,191,6.38998,9.43202,4.04738,7.08942
continuous_batching,32,2.3739,818,214,6.49726,9.54302,4.12336,7.16912
continuous_batching,33,2.3785,873,24,6.9855,7.57006,4.607,5.19156
continuous_batching,34,2.5093,442,84,7.37618,8.77514,4.86688,6.26584
continuous_batching,35,2.5148,967,161,7.57006,10.0281,5.05526,7.5133
continuous_batching,36,2.6821,354,70,7.9715,8.6591,5.2894,5.977
continuous_batching,37,2.7673,437,242,8.17654,10.78622,5.40924,8.01892
continuous_batching,38,2.9641,501,52,8.38062,9.3223,5.41652,6.3582
continuous_batching,39,2.9887,284,206,8.6591,11.47214,5.6704,8.48344
continuous_batching,40,3.0546,301,207,8.77514,11.80462,5.72054,8.75002
continuous_batching,41,3.1249,951,165,8.90774,10.48114,5.78284,7.35624
continuous_batching,42,3.1657,256,51,9.3223,9.65674,6.1566,6.49104
continuous_batching,43,3.2227,125,209,9.43202,11.99598,6.20932,8.77328
continuous_batching,44,3.2265,144,55,9.54302,10.11082,6.31652,6.88432
continuous_batching,45,3.3055,843,190,9.65674,12.20114,6.35124,8.89564
continuous_batching,46,3.3494,97,114,10.0281,11.07986,6.6787,7.73046
continuous_batching,47,3.3879,511,151,10.11082,12.06366,6.72292,8.67576
continuous_batching,48,3.411,598,236,10.48114,14.22458,7.07014,10.81358
continuous_batching,49,3.6394,728,200,10.78622,13.41062,7.14682,9.77122
continuous_batching,50,3.6491,938,153,11.07986,12.91238,7.43076,9.26328
continuous_batching,51,3.7603,819,180,11.47214,13.21574,7.71184,9.45544
continuous_batching,52,3.7936,332,127,11.80462,12.6021,8.01102,8.8085
continuous_batching,53,3.8074,35,200,11.99598,15.11398,8.18858,11.30658
continuous_batching,54,3.9743,301,144,12.06366,13.41062,8.08936,9.43632
continuous_batching,55,4.0891,551,249,12.20114,15.29026,8.11204,11.20116
continuous_batching,56,4.0981,672,92,12.6021,14.64738,8.504,10.54928
continuous_batching,57,4.2455,551,171,12.91238,15.31694,8.66688,11.07144
continuous_batching,58,4.2633,414,211,13.21574,15.44422,8.95244,11.18092
continuous_batching,59,4.2774,1008,215,13.41062,15.46886,9.13322,11.19146
continuous_batching,60,4.4819,972,16,13.81382,14.45446,9.33192,9.97256
continuous_batching,61,4.555,532,20,14.22458,14.64738,9.66958,10.09238
continuous_batching,62,4.5645,403,240,14.45446,15.52462,9.88996,10.96012
continuous_batching,63,4.9022,858,94,14.64738,15.31314,9.74518,10.41094
continuous_batching,64,4.9241,278,240,14.99058,15.53996,10.06648,10.61586
static_batching,1,0.0816,57,205,0.5419,2.7995,0.4603,2.7179
static_batching,2,0.1073,260,51,0.5419,2.7995,0.4346,2.6922
static_batching,3,0.214,724,205,0.5419,2.7995,0.3279,2.5855
static_batching,4,0.3922,121,167,0.5419,2.7995,0.1497,2.4073
static_batching,5,0.436,62,39,0.5419,2.7995,0.1059,2.3635
static_batching,6,0.4558,549,170,0.5419,2.7995,0.0861,2.3437
static_batching,7,0.4579,235,199,0.5419,2.7995,0.084,2.3416
static_batching,8,0.5419,590,123,0.5419,2.7995,0.0,2.2576
static_batching,9,0.5618,635,87,2.7995,5.1271,2.2377,4.5653
static_batching,10,0.6944,38,210,2.7995,5.1271,2.1051,4.4327
static_batching,11,0.8256,746,124,2.7995,5.1271,1.9739,4.3015
static_batching,12,0.8588,191,71,2.7995,5.1271,1.9407,4.2683
static_batching,13,1.1109,376,42,2.7995,5.1271,1.6886,4.0162
static_batching,14,1.1187,131,107,2.7995,5.1271,1.6808,4.0084
static_batching,15,1.2692,650,83,2.7995,5.1271,1.5303,3.8579
static_batching,16,1.4008,779,133,2.7995,5.1271,1.3987,3.7263
static_batching,17,1.4623,976,112,5.1271,7.7831,3.6648,6.3208
static_batching,18,1.4689,332,228,5.1271,7.7831,3.6582,6.3142
static_batching,19,1.5481,938,236,5.1271,7.7831,3.579,6.235
static_batching,20,1.584,228,196,5.1271,7.7831,3.5431,6.1991
static_batching,21,1.5898,709,74,5.1271,7.7831,3.5373,6.1933
static_batching,22,1.7084,113,234,5.1271,7.7831,3.4187,6.0747
static_batching,23,1.7296,135,113,5.1271,7.7831,3.3975,6.0535
static_batching,24,1.7557,682,229,5.1271,7.7831,3.3714,6.0274
static_batching,25,1.792,411,106,7.7831,10.2291,5.9911,8.4371
static_batching,26,1.8108,305,195,7.7831,10.2291,5.9723,8.4183
static_batching,27,2.0315,695,34,7.7831,10.2291,5.7516,8.1976
static_batching,28,2.1067,207,152,7.7831,10.2291,5.6764,8.1224
static_batching,29,2.2112,199,134,7.7831,10.2291,5.5719,8.0179
static_batching,30,2.2494,979,179,7.7831,10.2291,5.5337,7.9797
static_batching,31,2.3426,256,191,7.7831,10.2291,5.4405,7.8865
static_batching,32,2.3739,818,214,7.7831,10.2291,5.4092,7.8552
static_batching,33,2.3785,873,24,10.2291,12.9391,7.8506,10.5606
static_batching,34,2.5093,442,84,10.2291,12.9391,7.7198,10.4298
static_batching,35,2.5148,967,161,10.2291,12.9391,7.7143,10.4243
static_batching,36,2.6821,354,70,10.2291,12.9391,7.547,10.257
static_batching,37,2.7673,437,242,10.2291,12.9391,7.4618,10.1718
static_batching,38,2.9641,501,52,10.2291,12.9391,7.265,9.975
static_batching,39,2.9887,284,206,10.2291,12.9391,7.2404,9.9504
static_batching,40,3.0546,301,207,10.2291,12.9391,7.1745,9.8845
static_batching,41,3.1249,951,165,12.9391,15.5851,9.8142,12.4602
static_batching,42,3.1657,256,51,12.9391,15.5851,9.7734,12.4194
static_batching,43,3.2227,125,209,12.9391,15.5851,9.7164,12.3624
static_batching,44,3.2265,144,55,12.9391,15.5851,9.7126,12.3586
static_batching,45,3.3055,843,190,12.9391,15.5851,9.6336,12.2796
static_batching,46,3.3494,97,114,12.9391,15.5851,9.5897,12.2357
static_batching,47,3.3879,511,151,12.9391,15.5851,9.5512,12.1972
static_batching,48,3.411,598,236,12.9391,15.5851,9.5281,12.1741
static_batching,49,3.6394,728,200,15.5851,18.3507,11.9457,14.7113
static_batching,50,3.6491,938,153,15.5851,18.3507,11.936,14.7016
static_batching,51,3.7603,819,180,15.5851,18.3507,11.8248,14.5904
static_batching,52,3.7936,332,127,15.5851,18.3507,11.7915,14.5571
static_batching,53,3.8074,35,200,15.5851,18.3507,11.7777,14.5433
static_batching,54,3.9743,301,144,15.5851,18.3507,11.6108,14.3764
static_batching,55,4.0891,551,249,15.5851,18.3507,11.496,14.2616
static_batching,56,4.0981,672,92,15.5851,18.3507,11.487,14.2526
static_batching,57,4.2455,551,171,18.3507,21.0579,14.1052,16.8124
static_batching,58,4.2633,414,211,18.3507,21.0579,14.0874,16.7946
static_batching,59,4.2774,1008,215,18.3507,21.0579,14.0733,16.7805
static_batching,60,4.4819,972,16,18.3507,21.0579,13.8688,16.576
static_batching,61,4.555,532,20,18.3507,21.0579,13.7957,16.5029
static_batching,62,4.5645,403,240,18.3507,21.0579,13.7862,16.4934
static_batching,63,4.9022,858,94,18.3507,21.0579,13.4485,16.1557
static_batching,64,4.9241,278,240,18.3507,21.0579,13.4266,16.1338
