case_id,old_correct,new_correct,old_output_tokens,new_output_tokens,transition
gsm8k_0003,False,True,256,333,wrong_to_correct
gsm8k_0008,False,True,256,302,wrong_to_correct
gsm8k_0009,False,True,256,402,wrong_to_correct
gsm8k_0014,False,True,256,319,wrong_to_correct
gsm8k_0015,False,True,256,296,wrong_to_correct
gsm8k_0018,True,True,256,267,correct_to_correct
gsm8k_0020,True,True,256,322,correct_to_correct
gsm8k_0021,False,True,256,274,wrong_to_correct
gsm8k_0026,False,True,256,267,wrong_to_correct
gsm8k_0027,True,True,256,257,correct_to_correct
gsm8k_0031,False,True,256,298,wrong_to_correct
gsm8k_0037,False,True,256,259,wrong_to_correct
gsm8k_0040,False,True,256,385,wrong_to_correct
gsm8k_0045,False,True,256,302,wrong_to_correct
gsm8k_0048,False,True,256,343,wrong_to_correct
gsm8k_0053,False,True,256,279,wrong_to_correct
gsm8k_0054,False,True,256,283,wrong_to_correct
gsm8k_0064,False,True,256,293,wrong_to_correct
gsm8k_0075,False,True,256,295,wrong_to_correct
gsm8k_0076,False,True,256,277,wrong_to_correct
gsm8k_0077,False,True,256,287,wrong_to_correct
gsm8k_0079,False,True,256,266,wrong_to_correct
gsm8k_0088,False,False,256,300,wrong_to_wrong
gsm8k_0093,False,True,256,256,wrong_to_correct
gsm8k_0101,False,True,256,284,wrong_to_correct
gsm8k_0107,False,True,256,292,wrong_to_correct
gsm8k_0110,True,True,256,278,correct_to_correct
gsm8k_0112,False,True,256,308,wrong_to_correct
gsm8k_0116,False,True,256,346,wrong_to_correct
gsm8k_0120,False,False,256,473,wrong_to_wrong
gsm8k_0123,False,False,256,270,wrong_to_wrong
gsm8k_0129,False,True,256,308,wrong_to_correct
gsm8k_0130,False,True,256,327,wrong_to_correct
gsm8k_0138,False,True,256,323,wrong_to_correct
gsm8k_0139,True,True,256,266,correct_to_correct
gsm8k_0148,False,True,256,311,wrong_to_correct
gsm8k_0151,False,True,256,286,wrong_to_correct
gsm8k_0154,False,True,256,357,wrong_to_correct
gsm8k_0155,True,True,256,243,correct_to_correct
gsm8k_0156,True,True,256,268,correct_to_correct
gsm8k_0158,False,True,256,376,wrong_to_correct
gsm8k_0163,False,False,256,456,wrong_to_wrong
gsm8k_0173,True,True,256,251,correct_to_correct
gsm8k_0176,True,True,256,229,correct_to_correct
gsm8k_0178,False,True,256,465,wrong_to_correct
gsm8k_0184,False,True,256,316,wrong_to_correct
gsm8k_0185,False,True,256,291,wrong_to_correct
gsm8k_0187,False,True,256,338,wrong_to_correct
gsm8k_0188,False,False,256,311,wrong_to_wrong
gsm8k_0190,False,True,256,277,wrong_to_correct
gsm8k_0194,False,True,256,296,wrong_to_correct
gsm8k_0200,False,True,256,278,wrong_to_correct
gsm8k_0206,False,False,256,314,wrong_to_wrong
gsm8k_0208,False,True,256,322,wrong_to_correct
gsm8k_0214,True,True,256,262,correct_to_correct
gsm8k_0215,True,True,256,257,correct_to_correct
gsm8k_0219,False,True,256,267,wrong_to_correct
gsm8k_0220,False,True,256,293,wrong_to_correct
gsm8k_0227,False,True,256,296,wrong_to_correct
gsm8k_0228,False,True,256,281,wrong_to_correct
gsm8k_0231,False,True,256,313,wrong_to_correct
gsm8k_0243,True,True,256,300,correct_to_correct
gsm8k_0245,False,True,256,287,wrong_to_correct
gsm8k_0247,False,True,256,280,wrong_to_correct
gsm8k_0250,False,True,256,274,wrong_to_correct
gsm8k_0260,False,True,256,317,wrong_to_correct
gsm8k_0266,False,True,256,291,wrong_to_correct
gsm8k_0267,False,True,256,270,wrong_to_correct
gsm8k_0268,False,True,256,282,wrong_to_correct
gsm8k_0274,False,True,256,305,wrong_to_correct
gsm8k_0276,False,True,256,285,wrong_to_correct
gsm8k_0277,False,True,256,254,wrong_to_correct
gsm8k_0282,False,True,256,281,wrong_to_correct
gsm8k_0285,True,True,256,260,correct_to_correct
gsm8k_0288,False,True,256,234,wrong_to_correct
gsm8k_0296,False,True,256,271,wrong_to_correct
gsm8k_0299,False,False,256,329,wrong_to_wrong
gsm8k_0300,False,True,256,318,wrong_to_correct
gsm8k_0304,False,True,256,326,wrong_to_correct
gsm8k_0305,False,False,256,374,wrong_to_wrong
gsm8k_0308,False,True,256,290,wrong_to_correct
gsm8k_0311,False,True,256,386,wrong_to_correct
gsm8k_0314,False,True,256,298,wrong_to_correct
gsm8k_0316,False,True,256,275,wrong_to_correct
gsm8k_0326,False,True,256,330,wrong_to_correct
gsm8k_0332,False,True,256,423,wrong_to_correct
gsm8k_0334,False,True,256,265,wrong_to_correct
gsm8k_0340,False,True,256,285,wrong_to_correct
