request_id,concurrency,status_code,latency_seconds,prompt_tokens,completion_tokens,total_tokens,tokens_per_second,prompt,output,error_text
c1_r1,1,404,0.0076,0,0,0,0.0,用一句话解释什么是 GPU 推理服务。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r2,1,404,0.0024,0,0,0,0.0,用一句话解释什么是 KV cache。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r3,1,404,0.0018,0,0,0,0.0,用一句话解释什么是模型量化。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r4,1,404,0.0018,0,0,0,0.0,解释 continuous batching 如何提升大模型推理吞吐。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r5,1,404,0.0017,0,0,0,0.0,解释 P50、P95 latency 和 QPS 的区别。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r6,1,404,0.0016,0,0,0,0.0,解释 GQA 如何降低 KV cache memory。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r7,1,404,0.0016,0,0,0,0.0,解释 vLLM PagedAttention 的核心思想。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r8,1,404,0.0018,0,0,0,0.0,解释 max_num_batched_tokens 对吞吐和延迟的影响。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r9,1,404,0.0015,0,0,0,0.0,用一句话解释什么是 GPU 推理服务。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r10,1,404,0.0015,0,0,0,0.0,用一句话解释什么是 KV cache。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r11,1,404,0.0015,0,0,0,0.0,用一句话解释什么是模型量化。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r12,1,404,0.0015,0,0,0,0.0,解释 continuous batching 如何提升大模型推理吞吐。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r13,1,404,0.0015,0,0,0,0.0,解释 P50、P95 latency 和 QPS 的区别。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r14,1,404,0.0015,0,0,0,0.0,解释 GQA 如何降低 KV cache memory。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r15,1,404,0.0015,0,0,0,0.0,解释 vLLM PagedAttention 的核心思想。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r16,1,404,0.0015,0,0,0,0.0,解释 max_num_batched_tokens 对吞吐和延迟的影响。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r17,1,404,0.0015,0,0,0,0.0,用一句话解释什么是 GPU 推理服务。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r18,1,404,0.0015,0,0,0,0.0,用一句话解释什么是 KV cache。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r19,1,404,0.0015,0,0,0,0.0,用一句话解释什么是模型量化。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r20,1,404,0.0015,0,0,0,0.0,解释 continuous batching 如何提升大模型推理吞吐。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r21,1,404,0.0015,0,0,0,0.0,解释 P50、P95 latency 和 QPS 的区别。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r22,1,404,0.0015,0,0,0,0.0,解释 GQA 如何降低 KV cache memory。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r23,1,404,0.0015,0,0,0,0.0,解释 vLLM PagedAttention 的核心思想。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r24,1,404,0.0015,0,0,0,0.0,解释 max_num_batched_tokens 对吞吐和延迟的影响。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r25,1,404,0.0015,0,0,0,0.0,用一句话解释什么是 GPU 推理服务。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r26,1,404,0.0015,0,0,0,0.0,用一句话解释什么是 KV cache。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r27,1,404,0.0015,0,0,0,0.0,用一句话解释什么是模型量化。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r28,1,404,0.0015,0,0,0,0.0,解释 continuous batching 如何提升大模型推理吞吐。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r29,1,404,0.0015,0,0,0,0.0,解释 P50、P95 latency 和 QPS 的区别。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r30,1,404,0.0015,0,0,0,0.0,解释 GQA 如何降低 KV cache memory。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
c1_r31,1,404,0.0015,0,0,0,0.0,解释 vLLM PagedAttention 的核心思想。,,"{""error"":{""message"":""The model `Seed-OSS-36B-Instruct-W8A8` does not exist."",""type"":""NotFoundError"",""param"":null,""code"":404}}"
